"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Average size of households (TE)","2021 Average size of households (TE)","2022 Average size of households (TE)","2023 Average size of households (TE)","2024 Average size of households (TE)"
"72100  Karttula Keskus (Kuopio)",1.9,1.9,1.9,1.8,1.8
"72140  Itä-Karttula-Riuttasenpää (Kuopio)",...,...,...,...,...
"72210  Tervo Keskus-Eliaksela (Tervo)",1.8,1.8,1.8,1.7,1.7
"72220  Eliaksela (Tervo)",...,...,...,...,...
"72300  Vesanto Keskus (Vesanto)",1.7,1.7,1.7,1.7,1.7
"72310  Niinivesi (Vesanto)",1.8,1.8,1.8,1.8,1.8
"72330  Tiitilänkylä (Vesanto)",2.0,2.0,2.0,2.0,1.9
"72350  Pienola (Vesanto)",1.9,1.8,1.8,1.8,1.9
"72360  Närhilä (Vesanto)",1.6,1.6,1.7,1.7,1.8
"72380  Horontaipale (Vesanto)",1.9,1.8,1.7,1.7,1.8
"72400  Pielavesi Keskus-Jylänki (Pielavesi)",1.8,1.8,1.8,1.7,1.7
"72430  Kumpula (Pielavesi)",2.3,2.3,2.3,2.3,2.2
"72490  Saarinen (Kuopio)",...,...,...,...,...
"72510  Jokijärvi (Pielavesi)",1.8,1.6,1.8,1.6,1.7
"72530  Säviäntaipale (Pielavesi)",2.2,2.2,2.1,2.1,2.1
"72550  Säviä (Pielavesi)",2.0,2.0,2.0,2.0,2.0
"72570  Vuorikylä (Pielavesi)",2.3,2.2,2.2,2.2,2.2
"72600  Keitele Keskus (Keitele)",1.9,1.9,1.8,1.9,1.8
"72630  Kuusela-Rajala (Keitele)",2.3,2.3,2.2,2.1,2.0
"72710  Vaaraslahti (Pielavesi)",2.3,2.3,2.1,2.2,2.1
"72740  Laukkala (Pielavesi)",1.9,1.9,1.9,1.8,1.9
"72810  Jylhänkylä (Pielavesi)",2.4,2.3,2.7,2.5,2.4
"72840  Saarela (Pielavesi)",2.0,2.0,2.0,2.0,1.8
"72930  Tossavanlahti (Keitele)",1.7,1.8,1.7,1.6,1.7
"72950  Porttila (Keitele)",2.1,2.1,2.1,2.1,2.2
"72980  Petäjäkylä (Keitele)",1.8,1.7,1.7,1.6,1.6
"73100  Lapinlahti Keskus (Lapinlahti)",1.9,1.9,1.9,1.9,1.9
"73110  Mäntylahti-Karvasalmi (Lapinlahti)",2.3,2.2,2.2,2.2,2.2
"73120  Nerkoo-Horsmanmäki (Lapinlahti)",2.4,2.4,2.4,2.4,2.4
"73200  Varpaisjärvi Keskus (Lapinlahti)",1.8,1.8,1.8,1.8,1.7
"73230  Syvärinpää (Lapinlahti)",2.2,2.2,2.2,2.2,2.2
"73250  Korpijärvi (Lapinlahti)",1.8,1.9,1.9,1.8,1.8
"73300  Nilsiä Keskus (Kuopio)",1.8,1.7,1.7,1.7,1.7
"73310  Tahkovuori (Kuopio)",1.9,1.9,1.8,1.8,1.8
"73320  Reittiö (Kuopio)",2.1,2.1,2.1,2.1,2.1
"73350  Haluna (Kuopio)",2.4,2.4,2.2,2.2,2.1
"73360  Pajulahti (Kuopio)",2.5,2.4,2.3,2.3,2.3
"73410  Pieksänkoski (Kuopio)",2.0,2.1,2.2,2.2,2.2
"73460  Muuruvesi (Kuopio)",1.9,1.9,1.9,1.9,1.8
"73470  Västinniemi (Kuopio)",2.2,2.2,2.2,2.2,2.2
"73500  Juankoski Keskus (Kuopio)",1.8,1.7,1.7,1.7,1.7
"73600  Kaavi Keskus (Kaavi)",1.8,1.8,1.8,1.8,1.7
"73620  Kortteinen-Rasilampi (Kaavi)",2.0,1.9,1.9,1.9,1.8
"73640  Sivakkavaara (Kaavi)",1.6,1.7,1.7,1.8,1.7
"73645  Niinivaara-Onnivaara (Kaavi)",1.9,1.9,1.9,1.8,1.8
"73670  Luikonlahti (Kaavi)",1.9,1.9,1.9,1.9,1.9
"73710  Viitaniemi (Kuopio)",1.9,1.9,1.8,1.8,1.8
"73730  Losomäki (Kuopio)",1.6,1.6,1.6,1.6,1.7
"73770  Säyneinen-Ala-Siikajärvi (Kuopio)",2.0,2.0,2.0,1.9,2.0
"73810  Palonurmi-Aholansaari (Kuopio)",2.0,2.0,2.0,2.0,2.0
"73830  Keski-Siikajärvi (Kuopio)",2.1,2.1,2.0,2.0,2.0
"73850  Ala-Luosta-Riitasalo (Rautavaara)",2.0,1.9,1.8,1.9,2.0
"73900  Rautavaara Keskus (Rautavaara)",1.8,1.7,1.8,1.8,1.7
"73970  Riitasalo (Rautavaara)",...,...,...,...,...
"73990  Kangaslahti (Rautavaara)",2.2,2.1,2.0,2.0,2.1
"74100  Iisalmi Keskus, Eteläinen (Iisalmi)",1.5,1.5,1.5,1.5,1.5
"74120  Iisalmi Keskus Pohjoinen (Iisalmi)",1.8,1.8,1.8,1.8,1.8
"74130  Kihmula (Iisalmi)",2.0,2.0,2.0,1.9,1.9
"74140  Ritoniemi (Iisalmi)",2.4,2.4,2.3,2.3,2.3
"74150  Laidunmäki (Iisalmi)",2.3,2.3,2.2,2.2,2.2
"74160  Koljonvirta (Iisalmi)",2.5,2.5,2.6,2.6,2.5
"74170  Soinlahti (Iisalmi)",2.4,2.4,2.5,2.4,2.4
"74200  Vieremä Keskus (Vieremä)",2.0,1.9,1.9,1.9,1.9
"74230  Salahmi (Vieremä)",2.5,2.4,2.4,2.3,2.4
"74240  Marttisenjärvi (Vieremä)",2.1,2.1,2.1,2.1,2.1
"74250  Nissilä (Vieremä)",1.9,1.8,1.7,1.7,1.8
"74270  Kauppilanmäki (Vieremä)",2.2,2.3,2.2,2.2,2.2
"74300  Sonkajärvi Keskus (Sonkajärvi)",1.9,1.9,1.9,1.9,1.9
"74340  Sukeva-Kainuunmäki (Sonkajärvi)",1.9,1.8,1.8,1.8,1.8
"74345  Kalliosuo (Sonkajärvi)",1.6,1.5,1.5,1.6,1.4
"74360  Sonkakoski (Sonkajärvi)",2.0,2.1,2.0,2.1,2.1
"74380  Jyrkkä (Sonkajärvi)",1.9,1.8,1.7,1.7,1.6
"74390  Laakajärvi (Sotkamo)",1.6,1.5,...,...,...
"74420  Hernejärvi (Sonkajärvi)",2.3,2.2,2.2,2.2,2.2
"74470  Paloinen (Lapinlahti)",2.1,2.2,2.1,2.0,2.0
"74490  Koirakoski (Sonkajärvi)",1.9,1.8,1.8,1.8,1.8
"74510  Peltosalmi-Sourunsalo (Iisalmi)",2.0,2.0,2.0,2.0,2.0
"74520  Kirmanranta (Iisalmi)",2.3,2.2,2.2,2.2,2.2
"74540  Kotikylä (Iisalmi)",2.3,2.3,2.2,2.2,2.2
"74550  Pörsänmäki (Iisalmi)",2.0,2.0,1.9,2.0,2.0
"74590  Kurenpolvi (Vieremä)",2.3,2.3,2.3,2.3,2.3
"74595  Runni (Iisalmi)",2.1,2.2,2.1,2.1,2.1
"74610  Honkaranta (Kiuruvesi)",2.3,2.2,2.2,2.1,2.1
"74630  Heinäkylä (Kiuruvesi)",2.2,2.1,2.1,2.2,2.1
"74640  Sulkavanjärvi (Kiuruvesi)",2.2,2.3,2.2,2.3,2.3
"74670  Rapakkojoki (Kiuruvesi)",2.2,2.1,2.2,2.1,2.2
"74680  Myllyniemi (Kiuruvesi)",2.2,2.2,2.2,2.2,2.2
"74700  Kiuruvesi Keskus (Kiuruvesi)",1.8,1.8,1.8,1.8,1.8
"74720  Niemiskylä (Kiuruvesi)",2.4,2.4,2.3,2.2,2.2
"74740  Aittojärvi (Kiuruvesi)",2.0,2.0,2.0,2.0,2.0
"74770  Kalliokylä (Kiuruvesi)",...,...,...,...,...
"74840  Koppeloharju (Kiuruvesi)",2.3,2.2,2.3,2.3,2.2
"74940  Remeskylä-Tihilänkangas (Kiuruvesi)",2.2,2.3,2.2,2.2,2.2
"74980  Tihilänkangas (Kiuruvesi)",...,...,...,...,...
"75500  Nurmes Keskus (Nurmes)",1.8,1.8,1.8,1.8,1.8
"75530  Porokylä (Nurmes)",1.7,1.7,1.7,1.7,1.7
"75650  Savikylä (Nurmes)",2.0,2.0,2.0,2.0,2.0
"75680  Ylä-Luosta (Rautavaara)",1.9,1.9,1.8,1.8,1.8
"75700  Valtimo Keskus (Nurmes)",1.7,1.7,1.7,1.7,1.7
"75710  Karhunpää (Nurmes)",2.1,2.1,2.1,2.1,2.2
"75740  Pajukoski (Nurmes)",2.0,2.0,2.0,1.9,1.9
"75770  Puukari (Nurmes)",2.0,1.9,1.9,2.0,2.0
"75790  Rumo (Nurmes)",2.1,2.2,2.2,2.2,2.1
"75840  Ylä-Valtimo (Nurmes)",1.9,2.0,2.0,2.1,2.0
"75890  Saramo-Petäiskylä-Mujejärvi (Nurmes)",2.3,2.1,...,...,...
"75930  Petäiskylä (Nurmes)",...,...,1.8,1.7,1.5
"75940  Mujejärvi (Nurmes)",...,...,...,...,...
"75970  Kohtavaara (Nurmes)",2.1,2.1,2.1,2.2,2.2
"75990  Höljäkkä (Nurmes)",1.8,1.8,1.6,1.6,1.6
"76100  Pieksämäki Keskus (Pieksämäki)",1.6,1.6,1.6,1.6,1.6
"76120  Kontiopuisto (Pieksämäki)",1.8,1.8,1.8,1.8,1.8
"76130  Pappilanmäki (Pieksämäki)",2.0,1.9,1.9,1.9,1.9
"76150  Länsirinne (Pieksämäki)",1.7,1.7,1.7,1.7,1.7
"76280  Partaharju (Pieksämäki)",2.5,2.4,2.3,2.4,2.2
"76620  Pyhitty (Pieksämäki)",2.6,2.5,2.4,2.4,2.4
"76780  Lamminmäki (Pieksämäki)",2.1,2.1,2.1,2.0,2.0
"76850  Naarajärvi (Pieksämäki)",2.0,2.0,2.0,2.0,2.0
"76940  Nenonpelto (Pieksämäki)",1.9,2.0,2.0,2.0,2.0
"77110  Paltanen (Pieksämäki)",1.7,1.8,1.8,1.8,2.0
"77120  Venetmäki (Pieksämäki)",1.9,1.8,1.8,1.8,1.7
"77140  Huumala (Pieksämäki)",1.8,1.9,1.8,1.8,1.9
"77220  Neuvola (Pieksämäki)",2.0,1.9,1.9,2.0,2.0
"77240  Halkokumpu (Pieksämäki)",2.1,2.1,2.1,1.9,1.9
"77320  Hurskaala (Pieksämäki)",1.9,1.9,1.9,1.7,1.8
"77330  Virtasalmi Keskus (Pieksämäki)",1.8,1.8,1.8,1.8,1.8
"77350  Montola (Pieksämäki)",1.9,2.0,1.9,1.8,1.9
"77380  Kantala (Mikkeli)",2.0,2.1,2.2,2.1,2.1
"77430  Siikamäki (Pieksämäki)",2.3,2.2,2.2,2.2,2.1
"77460  Maavesi (Joroinen)",2.0,2.0,2.0,2.0,2.0
"77480  Savuniemi (Joroinen)",...,...,...,...,...
"77520  Haapakoski-Partaharju (Pieksämäki)",1.9,1.9,2.0,2.0,1.9
"77570  Jäppilä Keskus (Pieksämäki)",1.9,1.9,1.9,1.9,1.9
"77580  Tihusniemi (Pieksämäki)",1.9,1.9,1.9,2.0,1.9
"77600  Suonenjoki Keskus (Suonenjoki)",1.8,1.8,1.8,1.8,1.8
"77630  Lempyy (Suonenjoki)",2.0,2.2,2.2,2.2,2.2
"77690  Suontee (Suonenjoki)",1.9,1.9,1.9,2.0,1.9
"77700  Rautalampi Keskus (Rautalampi)",1.8,1.9,1.8,1.8,1.8
"77770  Myhinpää (Rautalampi)",1.8,1.8,1.7,1.7,1.8
"77800  Iisvesi (Suonenjoki)",1.9,1.8,1.8,1.8,1.8
"77910  Vaajasalmi (Rautalampi)",1.9,1.9,1.9,1.9,1.8
"77930  Kerkonjoensuu (Rautalampi)",2.0,1.9,1.9,1.8,1.8
"77960  Pakarila (Rautalampi)",...,...,...,...,...
"78200  Varkaus Keskus (Varkaus)",1.4,1.4,1.4,1.4,1.4
"78210  Kuoppakangas (Varkaus)",2.0,1.9,1.9,1.9,1.9
"78250  Päiviönsaari (Varkaus)",1.5,1.5,1.5,1.5,1.5
"78300  Kommila (Varkaus)",1.6,1.6,1.6,1.6,1.6
"78310  Puurtila (Varkaus)",2.1,2.1,2.1,2.1,2.1
"78400  Luttila (Varkaus)",2.1,2.1,2.1,2.0,2.0
"78480  Timola (Leppävirta)",2.5,2.4,2.4,2.4,2.4
"78500  Pitkälänniemi-Könönpelto (Varkaus)",2.1,2.1,2.1,2.1,2.0
"78610  Kurola (Varkaus)",2.1,2.1,2.1,2.1,2.1
"78710  Akonlahti (Varkaus)",2.2,2.2,2.2,2.1,2.1
"78850  Käpykangas (Varkaus)",1.9,1.9,1.9,1.9,1.8
"78870  Kaura-Aho (Varkaus)",1.9,1.9,1.8,1.8,1.8
"78880  Kuvansi (Joroinen)",2.1,2.0,2.0,2.0,2.0
"78900  Ruokokoski (Varkaus)",2.1,2.1,2.1,2.0,2.0
"79100  Leppävirta Keskus (Leppävirta)",1.8,1.8,1.8,1.8,1.8
"79130  Sorsakoski (Leppävirta)",1.8,1.8,1.8,1.8,1.8
"79140  Kotalahti (Leppävirta)",2.2,2.2,2.2,2.2,2.1
"79150  Konnuslahti-Valkeamäki (Leppävirta)",2.3,2.2,2.2,2.2,2.1
"79160  Saamaiskylä (Leppävirta)",1.9,1.9,2.0,1.9,1.9
"79180  Tuppurinmäki (Leppävirta)",...,...,...,...,...
"79190  Valkeamäki (Leppävirta)",...,...,...,...,...
"79230  Moninmäki (Leppävirta)",...,...,...,...,...
"79255  Kurjala-Moninmäki (Leppävirta)",2.4,2.3,2.5,2.4,2.3
"79265  Puponmäki (Leppävirta)",2.1,2.1,2.0,2.0,1.9
"79330  Näädänmaa (Leppävirta)",1.8,2.0,1.8,1.8,1.8
"79350  Itä-Soisalo (Leppävirta)",1.7,1.7,1.7,1.6,1.8
"79410  Niinimäki (Leppävirta)",2.1,2.1,2.1,2.1,2.1
"79480  Kangaslampi Keskus (Varkaus)",1.7,1.7,1.7,1.7,1.7
"79520  Viljolahti (Varkaus)",1.7,1.7,1.7,1.8,1.7
"79600  Joroinen Keskus (Joroinen)",1.8,1.8,1.8,1.8,1.8
"79620  Huutokoski (Joroinen)",1.9,2.1,2.0,2.0,2.0
"79630  Kolma (Joroinen)",2.2,2.3,2.2,2.2,2.2
"79660  Kerisalo (Joroinen)",2.2,2.2,2.3,2.2,2.2
"79680  Lahnalahti (Joroinen)",2.0,2.0,2.0,2.1,2.1
"79690  Kaitainen (Joroinen)",2.3,2.2,2.1,2.2,2.2
"79700  Heinävesi Keskus (Heinävesi)",1.7,1.7,1.7,1.7,1.7
"79810  Karvion kanava (Heinävesi)",1.7,1.7,1.6,1.6,1.5
"79820  Varistaipale (Heinävesi)",1.9,1.8,1.7,1.8,1.7
"79830  Palokki (Heinävesi)",...,...,...,...,...
"79850  Uusi-Valamo (Heinävesi)",0.0,0.0,0.0,0.0,0.0
"79860  Suuraho - Uusi-Valamo (Heinävesi)",1.7,1.7,1.7,1.7,1.6
"79885  Etelä-Petruma (Heinävesi)",2.1,2.1,2.0,2.1,...
"79895  Sarvikumpu (Heinävesi)",1.7,1.7,1.7,1.6,1.6
"79910  Kerma (Heinävesi)",2.0,2.1,2.0,2.0,2.0
"79940  Vihtari-Poikiinaho (Heinävesi)",1.9,1.9,1.9,1.9,1.9
"80100  Joensuu Keskus, Pohjoinen (Joensuu)",1.5,1.5,1.5,1.5,1.5
"80110  Joensuu Keskus Eteläinen (Joensuu)",1.4,1.4,1.4,1.4,1.4
"80130  Kanervala (Joensuu)",2.0,1.9,1.8,1.8,1.8
"80140  Noljakka (Joensuu)",1.9,1.9,1.9,1.9,1.9
"80160  Rantakylä-Latola (Joensuu)",1.8,1.8,1.8,1.8,1.8
"80170  Utra (Joensuu)",2.0,2.0,2.0,2.0,2.0
"80200  Niinivaara (Joensuu)",1.5,1.5,1.5,1.5,1.6
"80210  Sairaala-alue (Joensuu)",0.0,0.0,...,0.0,0.0
"80220  Penttilä (Joensuu)",1.7,1.6,1.6,1.6,1.6
"80230  Hukanhauta (Joensuu)",2.1,2.2,2.2,2.2,2.2
"80260  Kettuvaara (Joensuu)",2.0,2.0,2.0,2.0,2.0
"80330  Reijola (Joensuu)",2.2,2.1,2.1,2.1,2.1
"80400  Ylämylly (Liperi)",2.3,2.3,2.3,2.3,2.2
"80510  Onttola-Kunnasniemi (Kontiolahti)",2.5,2.6,2.5,2.5,2.5
"80710  Lehmo (Kontiolahti)",2.3,2.3,2.3,2.3,2.3
"80770  Kontiolahti as (Kontiolahti)",2.7,2.7,2.7,2.7,2.6
"80780  Kontioniemi (Kontiolahti)",2.5,2.4,2.5,2.4,2.4
"80790  Kontioranta-Kontioniemi (Kontiolahti)",1.9,1.9,1.9,2.0,2.1
"80850  Paihola (Kontiolahti)",2.1,2.2,2.2,2.1,2.1
"80910  Kulho (Kontiolahti)",2.6,2.6,2.6,2.6,2.5
"81100  Kontiolahti (Kontiolahti)",2.0,2.0,2.0,1.9,1.9
"81120  Katajaranta (Kontiolahti)",2.5,2.5,2.5,2.5,2.5
"81160  Romppala-Riihikangas (Kontiolahti)",2.0,2.0,2.0,2.0,2.0
"81200  Eno Keskus (Joensuu)",1.8,1.8,1.8,1.8,1.8
"81210  Louhioja (Joensuu)",2.7,2.7,2.6,2.6,2.6
"81220  Jakokoski (Kontiolahti)",2.6,2.6,2.5,2.5,2.5
"81230  Mönni (Kontiolahti)",2.1,2.1,2.1,2.0,2.0
"81235  Lehtoi (Kontiolahti)",2.6,2.5,2.5,2.5,2.4
"81260  Ahveninen (Joensuu)",1.9,1.9,1.9,1.9,1.9
"81270  Paukkaja (Joensuu)",2.1,1.9,1.9,1.9,1.9
"81280  Uimaharju (Joensuu)",1.8,1.7,1.7,1.7,1.7
"81290  Ukkola (Joensuu)",1.9,1.9,1.8,1.8,1.7
"81295  Haapalahti (Joensuu)",2.0,2.0,1.9,1.8,1.7
"81320  Kuismavaara (Joensuu)",...,...,...,...,...
"81330  Luhtapohja (Joensuu)",1.8,1.8,1.7,1.7,1.7
"81350  Tokrajärvi (Ilomantsi)",2.1,2.0,2.0,1.8,1.9
"81360  Sarvinki (Joensuu)",1.8,1.8,1.9,1.9,1.9
"81390  Revonkylä (Joensuu)",2.0,2.2,2.1,2.3,2.1
"81420  Tyrjänsaari (Ilomantsi)",1.8,1.9,1.8,1.7,1.7
"81430  Kivilahti (Ilomantsi)",1.6,1.6,1.6,1.6,1.5
"81450  Huhus-Käenkoski (Ilomantsi)",1.8,1.9,1.7,1.8,1.7
"81460  Käenkoski (Ilomantsi)",...,...,...,...,...
"81470  Naarva (Ilomantsi)",...,...,...,...,...
"81560  Vuonisjärvi (Lieksa)",2.2,2.1,2.0,2.0,2.0
"81570  Kelvä (Lieksa)",1.9,1.9,1.8,1.8,1.8
"81590  Vuonislahti (Lieksa)",1.8,1.8,1.8,1.9,1.8
"81650  Hattuvaara (Lieksa)",1.6,1.7,1.7,1.7,1.7
"81660  Lehmikylä (Lieksa)",...,...,...,...,...
"81700  Lieksa Keskus (Lieksa)",1.6,1.6,1.6,1.6,1.6
"81720  Mähkö-Timitra (Lieksa)",1.8,1.7,1.7,1.7,1.7
"81750  Pankakoski (Lieksa)",1.7,1.7,1.7,1.7,1.7
"81810  Jamali (Lieksa)",2.0,2.0,2.0,2.0,2.0
"81820  Kylänlahti (Lieksa)",2.0,2.0,1.9,1.9,1.9
"81850  Mätäsvaara (Lieksa)",1.5,1.5,1.5,1.5,1.6
"81860  Viekijärvi (Lieksa)",1.8,1.7,1.7,1.7,1.7
"81950  Pankajärvi (Lieksa)",2.0,2.0,2.0,2.1,2.1
"81970  Jongunjoki-Pankajärvi (Lieksa)",1.8,1.8,1.7,1.7,1.7
"82110  Heinävaara (Joensuu)",2.4,2.4,2.3,2.3,2.2
"82120  Keskijärvi (Joensuu)",2.0,1.9,1.9,1.8,1.8
"82140  Kiihtelysvaara Keskus (Joensuu)",1.8,1.8,1.8,1.8,1.8
"82160  Oskola (Joensuu)",1.8,1.8,...,...,...
"82170  Uskali (Joensuu)",...,...,...,...,...
"82180  Huhtilampi (Joensuu)",1.7,1.9,1.8,1.8,1.9
"82200  Hammaslahti (Joensuu)",2.1,2.1,2.0,2.0,2.0
"82210  Suhmura (Joensuu)",2.5,2.5,2.5,2.4,2.4
"82220  Niittylahti (Joensuu)",2.8,2.7,2.7,2.7,2.7
"82290  Nieminen (Rääkkylä)",1.8,1.8,1.8,1.7,1.7
"82300  Rääkkylä Keskus (Rääkkylä)",1.7,1.6,1.6,1.6,1.6
"82310  Oravisalo-Varpasalo (Rääkkylä)",1.8,1.8,1.8,1.8,1.8
"82335  Rasivaara (Rääkkylä)",1.9,1.9,1.9,1.9,1.8
"82350  Tikkala (Tohmajärvi)",2.2,2.1,2.1,2.1,2.0
"82360  Onkamo (Tohmajärvi)",2.1,2.2,2.1,2.1,2.1
"82380  Tolosenmäki (Kitee)",2.0,2.0,2.0,1.9,1.9
"82395  Haarajärvi (Kitee)",2.3,2.3,2.2,2.3,2.2
"82430  Puhos-Leinovaara (Kitee)",2.0,2.0,2.0,2.0,1.9
"82460  Hummovaara (Kitee)",2.2,2.1,2.2,2.2,2.2
"82490  Heinoniemi (Kitee)",1.8,1.8,1.8,1.8,1.7
"82500  Kitee Keskus (Kitee)",1.8,1.8,1.8,1.8,1.8
"82510  Kiteenlahti (Kitee)",2.1,2.2,2.2,2.1,2.2
"82580  Juurikka (Kitee)",2.1,2.0,2.1,2.1,2.0
"82590  Närsäkkälä (Kitee)",1.8,1.8,1.9,1.9,1.8
"82600  Tohmajärvi Keskus (Tohmajärvi)",1.9,1.8,1.8,1.9,1.8
"82655  Värtsilä Keskus (Tohmajärvi)",1.9,1.8,1.8,1.7,1.7
"82660  Uusi-Värtsilä (Tohmajärvi)",1.7,1.8,1.8,1.7,1.6
"82670  Kaurila (Tohmajärvi)",2.0,2.2,2.1,2.1,2.2
"82675  Niirala-Jänisjoki (Tohmajärvi)",1.9,1.8,1.9,1.8,1.8
"82685  Littilä (Tohmajärvi)",2.2,2.2,2.2,2.2,2.2
"82710  Kovero (Joensuu)",1.8,1.7,1.7,1.7,1.7
"82730  Tuupovaara Keskus-Pirttiaho (Joensuu)",1.6,1.6,1.6,1.6,1.6
"82750  Öllölä (Joensuu)",1.7,1.8,1.7,1.6,1.6
"82760  Hoilola (Joensuu)",1.7,1.5,1.5,1.6,1.6
"82770  Kaustajärvi (Tohmajärvi)",...,...,...,...,...
"82815  Marjovaara (Joensuu)",1.8,1.8,1.8,1.7,1.8
"82820  Maukkula (Ilomantsi)",2.1,2.0,2.0,2.0,1.9
"82830  Haukivaara (Ilomantsi)",2.1,2.1,2.1,2.2,2.3
"82840  Pirttiaho (Joensuu)",...,...,...,...,...
"82850  Kinnasniemi (Joensuu)",1.8,1.8,1.8,1.9,1.9
"82865  Kokinvaara-Mannervaara (Joensuu)",...,...,...,...,...
"82870  Luutalahti (Joensuu)",...,...,...,...,...
"82880  Mannervaara (Joensuu)",...,...,...,...,...
"82900  Ilomantsi Keskus (Ilomantsi)",1.7,1.7,1.7,1.7,1.7
"82915  Sonkaja (Ilomantsi)",2.0,2.0,1.9,1.9,1.9
"82960  Lehtovaara-Kuikkalampi (Ilomantsi)",1.8,1.7,1.7,1.8,1.7
"82967  Hattu (Ilomantsi)",1.7,1.6,1.6,1.5,1.6
"82980  Möhkö (Ilomantsi)",1.9,1.9,1.9,1.9,1.8
"83100  Liperi Keskus (Liperi)",1.8,1.8,1.8,1.8,1.8
"83130  Salokylä (Liperi)",2.4,2.4,2.4,2.3,2.3
"83140  Puromäki (Liperi)",2.4,2.4,2.4,2.4,2.2
"83150  Roukalahti (Liperi)",2.1,2.0,2.0,2.0,2.1
"83160  Tutjunniemi (Liperi)",1.8,1.8,1.8,1.8,1.9
"83320  Risti-Juojärvi (Liperi)",1.9,2.0,1.9,1.8,1.8
"83330  Kaatamo (Liperi)",2.2,2.2,2.1,2.0,2.0
"83340  Kaarnalampi (Liperi)",2.0,2.1,2.1,2.0,1.9
"83400  Viinijärvi (Liperi)",1.8,1.8,1.8,1.8,1.8
"83430  Käsämä (Liperi)",2.3,2.2,2.2,2.2,2.2
"83450  Vaivio (Liperi)",2.4,2.5,2.4,2.4,2.4
"83460  Harinjärvi (Liperi)",2.5,2.5,2.5,2.6,2.6
"83480  Ahonkylä (Liperi)",2.1,2.0,2.1,2.0,2.0
"83500  Outokumpu Keskus (Outokumpu)",1.8,1.8,1.8,1.8,1.8
"83550  Kokonvaara (Outokumpu)",2.0,2.0,2.0,1.9,1.9
"83630  Kuusjärvi (Outokumpu)",2.1,2.1,2.1,2.0,2.0
"83660  Varislahti (Outokumpu)",2.2,2.3,2.2,2.2,2.2
"83700  Polvijärvi Keskus (Polvijärvi)",1.8,1.8,1.7,1.8,1.8
"83720  Kuorevaara (Polvijärvi)",2.2,2.2,2.1,2.1,2.1
"83750  Sotkuma (Polvijärvi)",2.5,2.5,2.6,2.5,2.6
"83760  Sola (Polvijärvi)",2.1,2.1,2.1,2.1,2.1
"83780  Horsmanaho (Polvijärvi)",2.2,2.3,2.3,2.2,2.2
"83825  Kinahmo (Polvijärvi)",1.9,1.9,1.8,1.9,1.9
"83830  Hukkala (Polvijärvi)",1.9,1.9,2.0,1.9,1.9
"83835  Ruvaslahti (Polvijärvi)",2.1,2.1,2.1,2.1,2.0
"83840  Saarivaara (Polvijärvi)",...,...,...,...,...
"83855  Martonvaara-Sammakkovaara (Polvijärvi)",1.8,1.7,1.7,1.7,1.7
"83870  Polvela-Timovaara (Juuka)",1.9,1.9,1.8,1.8,1.7
"83880  Kajoo (Juuka)",2.0,2.0,2.1,2.0,2.0
"83900  Juuka Keskus (Juuka)",1.7,1.7,1.7,1.7,1.7
"83910  Paalasmaa (Juuka)",1.7,1.7,1.8,1.8,1.7
"83915  Vihtasuo (Juuka)",...,...,...,...,...
"83940  Nunnanlahti (Juuka)",1.9,1.9,1.9,1.9,1.9
"83950  Ahmovaara (Juuka)",1.9,1.9,1.9,1.9,1.9
"83960  Koli (Lieksa)",1.8,1.9,1.9,2.0,1.9
"83985  Tuopanjoki (Juuka)",...,...,...,...,...
"84100  Ylivieska Keskus (Ylivieska)",2.1,2.1,2.1,2.1,2.1
"84460  Tuomiperä (Ylivieska)",2.3,2.3,2.4,2.3,2.4
"84540  Vähäkangas (Ylivieska)",2.8,2.8,2.9,2.8,2.8
"84650  Kantokylä (Ylivieska)",2.6,2.5,2.6,2.6,2.5
"84770  Isokoski (Ylivieska)",1.9,2.0,1.9,2.0,2.0
"84880  Raudaskylä (Ylivieska)",2.5,2.4,2.4,2.4,2.3
"85100  Kalajoki Keskus (Kalajoki)",2.1,2.1,2.1,2.1,2.1
"85120  Metsä (Kalajoki)",2.8,2.7,2.7,2.6,2.6
"85140  Tynkä (Kalajoki)",2.5,2.5,2.5,2.4,2.4
"85150  Typpö (Kalajoki)",2.5,2.4,2.4,2.4,2.5
"85160  Rautio (Kalajoki)",2.7,2.7,2.7,2.6,2.6
"85180  Rahja (Kalajoki)",2.4,2.3,2.3,2.3,2.1
"85200  Alavieska Keskus (Alavieska)",2.2,2.2,2.2,2.2,2.2
"85210  Kähtävä (Alavieska)",2.3,2.2,2.2,2.2,2.2
"85230  Talus (Alavieska)",2.4,2.4,2.4,2.3,2.3
"85310  Sievi Asemanseutu (Sievi)",2.5,2.5,2.5,2.5,2.5
"85320  Markkula (Sievi)",2.0,2.1,2.1,2.2,2.2
"85340  Jyrinki (Sievi)",3.6,3.5,3.4,3.5,3.4
"85410  Sievi Keskus (Sievi)",2.3,2.3,2.3,2.3,2.2
"85430  Koivisto (Sievi)",2.6,2.6,2.5,2.5,2.4
"85450  Joenkylä (Sievi)",3.3,3.3,3.1,3.1,3.0
"85470  Kiiskilampi (Sievi)",2.8,2.8,2.7,2.7,2.7
"85500  Nivala Keskus (Nivala)",2.3,2.2,2.2,2.2,2.1
"85540  Mönkö (Nivala)",3.0,2.9,3.1,3.0,3.0
