"12f2 -- 4. Size and stage in life of households, 2010-2024"

"Postal code area","2020 Households living in rented dwellings (TE)","2021 Households living in rented dwellings (TE)","2022 Households living in rented dwellings (TE)","2023 Households living in rented dwellings (TE)","2024 Households living in rented dwellings (TE)"
"12630  Sajaniemi (Loppi)",6,5,6,5,6
"12640  Joentaka (Loppi)",2,2,2,2,3
"12700  Loppi kk (Loppi)",350,356,352,357,363
"12750  Pilpala (Loppi)",13,14,14,15,14
"12820  Räyskälä (Loppi)",...,...,...,...,...
"12920  Topeno (Loppi)",8,10,9,8,6
"12950  Vojakkala-Eerolankulma (Loppi)",4,6,5,6,5
"13100  Hämeenlinna Keskus (Hämeenlinna)",3505,3590,3594,3627,3552
"13110  Kantola (Hämeenlinna)",50,54,54,134,140
"13130  Kauriala (Hämeenlinna)",1597,1688,1695,1727,1706
"13200  Keinusaari (Hämeenlinna)",858,1010,1186,1172,1191
"13210  Hätilä (Hämeenlinna)",1534,1589,1576,1564,1566
